USR_ID,CLIENT_TIME,SESSION_ID,TOY_AMOUNT,TOY_NAME,UNLOCK_CAUSE,ISNEWTOY,TOY_UNLOCKED_METHOD
u1639458248633334802,2024-04-02T17:59:13Z,1,0,FROG_VD307A,Deep_Link,1,Deeplink
u7880653046887993867,2024-04-02T17:59:29Z,4,5,CROCODILE_VV194,Toy Scan,1,Toy_Scan
u477860015731137985,2024-04-02T17:59:36Z,1,0,TAN_BEAR_VT017,Deep_Link,1,Deeplink
u1639458248633334802,2024-04-02T17:59:37Z,1,1,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u477860015731137985,2024-04-02T18:00:06Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u8450461084343356676,2024-04-02T17:59:54Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2608525261234005281,2024-04-02T17:59:52Z,1,0,PILOT_KEVIN_DV598,Deep_Link,1,Deeplink
u2608525261234005281,2024-04-02T18:00:15Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u8144222760852446191,2024-04-02T17:52:35Z,2,0,PHASER_VD139,Toy Scan,1,Toy_Scan
u7184562261199856390,2024-04-02T17:52:59Z,11,9,SUNSET_FIRE_VV009A,Reward System,1,Reward_System
u5373269536242953447,2024-04-02T17:53:07Z,6,3,Shooting Star_VU117,Free Gift,1,Free_Gift
u7243227937286501930,2024-04-02T17:53:14Z,1,0,DUCK_SPINNER_VT362,Deep_Link,1,Deeplink
u6972012910206027422,2024-04-02T17:53:09Z,1,0,FIBBER_VD280,Deep_Link,1,Deeplink
u8144222760852446191,2024-04-02T17:53:08Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3747446455010493108,2024-04-02T17:53:47Z,5,2,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u6972012910206027422,2024-04-02T17:53:47Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5862302623115111861,2024-04-02T17:53:44Z,1,0,CAT_NOIR_VV389,Deep_Link,1,Deeplink
u1274964773210230647,2024-04-02T17:54:06Z,9,11,Drago_VU167,Reward System,1,Reward_System
u8428167165557178015,2024-04-02T17:54:23Z,2,0,MONKEY / KOALA_EN301J,QR Code,1,QR_Code
u6658795640164579277,2024-04-02T17:54:20Z,2,2,KEYBOARD_PARROCK_VTB46,Toy Scan,0,Deeplink
u6434188439439385840,2024-04-02T17:54:17Z,5,3,Crown_VU192,Free Gift,1,Free_Gift
